Quarter,Month,Week,Product Type,Territory,Sales Channel,Customer Type,Revenue,Cost
Q1/2011,11-Mar,W11-2011,Mobile,North America,Internet,Branded Stores,24473,17020
Q1/2011,11-Mar,W11-2011,Mobile,North America,Internet,Retail,27858,30563
Q1/2011,11-Mar,W11-2011,Office Supplies,North America,Internet,Entertainment Venues,640,152
Q1/2011,11-Mar,W11-2011,Office Supplies,North America,Retail,Internet Direct,34453,18684
Q1/2011,11-Mar,W11-2011,Repairs,North America,Retail,Branded Stores,37241,26640
Q1/2011,11-Mar,W11-2011,Portable Electronics,North America,Direct,Entertainment Venues,13525,7753
Q1/2011,11-Mar,W11-2011,Portable Electronics,North America,Direct,Retail,2305,3688
Q1/2011,11-Mar,W11-2011,Portable Electronics,North America,Internet,Entertainment Venues,4953,2744
Q1/2011,11-Mar,W11-2011,Portable Electronics,North America,Internet,Retail,29065,26074
Q1/2011,11-Mar,W11-2011,Portable Electronics,North America,Retail,Retail,22270,43944
Q1/2011,11-Mar,W12-2011,Computers & Tablets,North America,Internet,Entertainment Venues,19260,12964
Q1/2011,11-Mar,W12-2011,Computers & Tablets,North America,Internet,Branded Stores,21557,16358
Q1/2011,11-Mar,W12-2011,Computers & Tablets,North America,Internet,Retail,47592,43991
Q1/2011,11-Mar,W12-2011,Computers & Tablets,North America,Retail,Entertainment Venues,14639,16246
Q1/2011,11-Mar,W12-2011,Computers & Tablets,North America,Retail,Branded Stores,730,1134
Q1/2011,11-Mar,W12-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,16807,8965
Q1/2011,11-Mar,W12-2011,TV & Home Theatre,North America,Internet,Branded Stores,59969,61245
Q1/2011,11-Mar,W12-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,27221,20046
Q1/2011,11-Mar,W12-2011,Cameras,North America,Direct,Entertainment Venues,5547,5319
Q1/2011,11-Mar,W12-2011,Cameras,North America,Direct,Retail,17443,36538
Q1/2011,11-Mar,W12-2011,Mobile,North America,Direct,Entertainment Venues,11886,9090
Q1/2011,11-Mar,W12-2011,Mobile,North America,Internet,Entertainment Venues,4754,1765
Q1/2011,11-Mar,W12-2011,Mobile,North America,Retail,Entertainment Venues,5509,5835
Q1/2011,11-Mar,W12-2011,Office Supplies,North America,Direct,Branded Stores,15197,7871
Q1/2011,11-Mar,W12-2011,Office Supplies,North America,Direct,Retail,2571,1627
Q1/2011,11-Mar,W12-2011,Office Supplies,North America,Internet,Internet Direct,7235,1582
Q1/2011,11-Mar,W12-2011,Office Supplies,North America,Retail,Entertainment Venues,41360,25108
Q1/2011,11-Mar,W12-2011,Office Supplies,North America,Retail,Branded Stores,39404,31005
Q1/2011,11-Mar,W12-2011,Repairs,North America,Direct,Entertainment Venues,13680,5515
Q1/2011,11-Mar,W12-2011,Repairs,North America,Direct,Retail,23291,12948
Q1/2011,11-Mar,W12-2011,Repairs,North America,Internet,Retail,7637,3946
Q1/2011,11-Mar,W12-2011,Portable Electronics,North America,Direct,Retail,28017,35535
Q1/2011,11-Mar,W12-2011,Portable Electronics,North America,Internet,Internet Direct,73832,30119
Q1/2011,11-Mar,W12-2011,Portable Electronics,North America,Retail,Retail,3456,5835
Q1/2011,11-Mar,W13-2011,Computers & Tablets,North America,Direct,Entertainment Venues,2357,2487
Q1/2011,11-Mar,W13-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,13239,17876
Q1/2011,11-Mar,W13-2011,Cameras,North America,Direct,Entertainment Venues,10516,8116
Q1/2011,11-Mar,W13-2011,Cameras,North America,Internet,Internet Direct,23834,11654
Q1/2011,11-Mar,W13-2011,Mobile,North America,Internet,Entertainment Venues,6849,2882
Q1/2011,11-Mar,W13-2011,Mobile,North America,Internet,Retail,18658,19330
Q1/2011,11-Mar,W13-2011,Office Supplies,North America,Direct,Entertainment Venues,5511,2209
Q1/2011,11-Mar,W13-2011,Office Supplies,North America,Direct,Branded Stores,5144,2957
Q1/2011,11-Mar,W13-2011,Portable Electronics,North America,Internet,Entertainment Venues,8248,6071
Q1/2011,11-Mar,W13-2011,Portable Electronics,North America,Internet,Branded Stores,16664,11336
Q1/2011,11-Mar,W13-2011,Portable Electronics,North America,Retail,Retail,5161,11613
Q1/2011,11-Mar,W14-2011,Computers & Tablets,North America,Direct,Entertainment Venues,7054,8842
Q1/2011,11-Mar,W14-2011,Computers & Tablets,North America,Retail,Entertainment Venues,9989,10304
Q1/2011,11-Mar,W14-2011,Computers & Tablets,North America,Retail,Branded Stores,110022,163655
Q1/2011,11-Mar,W14-2011,Computers & Tablets,North America,Retail,Retail,21509,44341
Q1/2011,11-Mar,W14-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,42183,37760
Q1/2011,11-Mar,W14-2011,Cameras,North America,Internet,Entertainment Venues,2353,1310
Q1/2011,11-Mar,W14-2011,Cameras,North America,Retail,Entertainment Venues,12895,16146
Q1/2011,11-Mar,W14-2011,Mobile,North America,Direct,Branded Stores,7587,7918
Q1/2011,11-Mar,W14-2011,Mobile,North America,Direct,Retail,8477,11171
Q1/2011,11-Mar,W14-2011,Mobile,North America,Internet,Retail,1959,2217
Q1/2011,11-Mar,W14-2011,Office Supplies,North America,Direct,Entertainment Venues,16933,10068
Q1/2011,11-Mar,W14-2011,Office Supplies,North America,Internet,Entertainment Venues,2509,996
Q1/2011,11-Mar,W14-2011,Office Supplies,North America,Retail,Retail,10825,9434
Q2/2011,11-Apr,W14-2011,Computers & Tablets,North America,Internet,Retail,741,704
Q2/2011,11-Apr,W14-2011,TV & Home Theatre,North America,Direct,Retail,5618,6797
Q2/2011,11-Apr,W14-2011,Cameras,North America,Retail,Entertainment Venues,26203,25523
Q2/2011,11-Apr,W14-2011,Office Supplies,North America,Internet,Internet Direct,34220,9167
Q2/2011,11-Apr,W15-2011,Computers & Tablets,North America,Direct,Entertainment Venues,543,561
Q2/2011,11-Apr,W15-2011,Computers & Tablets,North America,Retail,Internet Direct,8637,4201
Q2/2011,11-Apr,W15-2011,TV & Home Theatre,North America,Direct,Retail,368,527
Q2/2011,11-Apr,W15-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,52869,63616
Q2/2011,11-Apr,W15-2011,TV & Home Theatre,North America,Retail,Retail,205897,387283
Q2/2011,11-Apr,W15-2011,Cameras,North America,Internet,Entertainment Venues,21187,10235
Q2/2011,11-Apr,W15-2011,Cameras,North America,Retail,Entertainment Venues,230,287
Q2/2011,11-Apr,W15-2011,Mobile,North America,Direct,Entertainment Venues,293,200
Q2/2011,11-Apr,W15-2011,Mobile,North America,Internet,Entertainment Venues,37153,18615
Q2/2011,11-Apr,W15-2011,Mobile,North America,Retail,Retail,7619,13456
Q2/2011,11-Apr,W15-2011,Office Supplies,North America,Direct,Retail,21794,13737
Q2/2011,11-Apr,W15-2011,Office Supplies,North America,Internet,Retail,2375,1403
Q2/2011,11-Apr,W15-2011,Office Supplies,North America,Internet,Internet Direct,13174,3285
Q2/2011,11-Apr,W15-2011,Repairs,North America,Internet,Internet Direct,60481,11001
Q2/2011,11-Apr,W15-2011,Repairs,North America,Retail,Retail,18915,16929
Q2/2011,11-Apr,W15-2011,Portable Electronics,North America,Direct,Entertainment Venues,24782,17288
Q2/2011,11-Apr,W15-2011,Portable Electronics,North America,Direct,Branded Stores,1552,1365
Q2/2011,11-Apr,W15-2011,Portable Electronics,North America,Direct,Retail,18799,27207
Q2/2011,11-Apr,W15-2011,Portable Electronics,North America,Retail,Entertainment Venues,20060,14968
Q2/2011,11-Apr,W16-2011,Computers & Tablets,North America,Direct,Entertainment Venues,90,91
Q2/2011,11-Apr,W16-2011,Computers & Tablets,North America,Internet,Retail,53401,73088
Q2/2011,11-Apr,W16-2011,Computers & Tablets,North America,Retail,Retail,35723,69205
Q2/2011,11-Apr,W16-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,39519,25454
Q2/2011,11-Apr,W16-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,3846,4199
Q2/2011,11-Apr,W16-2011,Cameras,North America,Internet,Entertainment Venues,3276,2166
Q2/2011,11-Apr,W16-2011,Mobile,North America,Direct,Retail,2493,3699
Q2/2011,11-Apr,W16-2011,Mobile,North America,Internet,Entertainment Venues,13943,7579
Q2/2011,11-Apr,W16-2011,Mobile,North America,Retail,Entertainment Venues,33076,23063
Q2/2011,11-Apr,W16-2011,Office Supplies,North America,Direct,Entertainment Venues,3464,1207
Q2/2011,11-Apr,W16-2011,Office Supplies,North America,Direct,Branded Stores,32568,16867
Q2/2011,11-Apr,W16-2011,Office Supplies,North America,Internet,Entertainment Venues,4697,2037
Q2/2011,11-Apr,W16-2011,Office Supplies,North America,Internet,Retail,3485,2095
Q2/2011,11-Apr,W16-2011,Repairs,North America,Direct,Entertainment Venues,34012,10051
Q2/2011,11-Apr,W16-2011,Repairs,North America,Retail,Retail,21296,15434
Q2/2011,11-Apr,W16-2011,Portable Electronics,North America,Internet,Entertainment Venues,4308,2671
Q2/2011,11-Apr,W16-2011,Portable Electronics,North America,Internet,Branded Stores,41159,38263
Q2/2011,11-Apr,W16-2011,Portable Electronics,North America,Retail,Entertainment Venues,14513,15928
Q2/2011,11-Apr,W16-2011,Portable Electronics,North America,Retail,Retail,35239,54036
Q2/2011,11-Apr,W17-2011,Computers & Tablets,North America,Direct,Retail,36342,86172
Q2/2011,11-Apr,W17-2011,Computers & Tablets,North America,Internet,Entertainment Venues,55108,36245
Q2/2011,11-Apr,W17-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,15157,8326
Q2/2011,11-Apr,W17-2011,TV & Home Theatre,North America,Direct,Retail,1942,2537
Q2/2011,11-Apr,W17-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,18753,10405
Q2/2011,11-Apr,W17-2011,TV & Home Theatre,North America,Retail,Retail,15689,23007
Q2/2011,11-Apr,W17-2011,Mobile,North America,Direct,Entertainment Venues,3287,1681
Q2/2011,11-Apr,W17-2011,Mobile,North America,Internet,Entertainment Venues,30748,13801
Q2/2011,11-Apr,W17-2011,Mobile,North America,Internet,Retail,20884,20012
Q2/2011,11-Apr,W17-2011,Mobile,North America,Retail,Entertainment Venues,32209,26593
Q2/2011,11-Apr,W17-2011,Office Supplies,North America,Direct,Retail,7602,7991
Q2/2011,11-Apr,W17-2011,Office Supplies,North America,Retail,Entertainment Venues,17124,13538
Q2/2011,11-Apr,W17-2011,Repairs,North America,Direct,Retail,44277,30549
Q2/2011,11-Apr,W17-2011,Portable Electronics,North America,Direct,Entertainment Venues,1572,726
Q2/2011,11-Apr,W17-2011,Portable Electronics,North America,Direct,Retail,3889,4920
Q2/2011,11-Apr,W17-2011,Portable Electronics,North America,Retail,Entertainment Venues,13149,9900
Q2/2011,11-Apr,W18-2011,Computers & Tablets,North America,Direct,Entertainment Venues,8480,9005
Q2/2011,11-Apr,W18-2011,Computers & Tablets,North America,Direct,Retail,3480,7263
Q2/2011,11-Apr,W18-2011,Computers & Tablets,North America,Internet,Entertainment Venues,58817,37190
